Workshop,Kategorie,Datum,Land,Location,Pole Studio,URL_E,Art,Level,Beschreibung,Trainer,Uhrzeit,Preis,Einheiten
Workshop l Sensual Pole l Emily | int.-adv. Level,Poledance,"Samstag, 25. Januar 2025",,"Eichkamp 1-5, 24116 Kiel",Pure Motion Kiel,https://www.eversports.de/e/workshop/f_LZ0ER,Workshop,,"Better kick it higher! Dieser Workshop richtet sich an alle, die gern hoch hinaus wollen. Du lernst den Heel richtig einzusetzen, deine Skills zu vertiefen und gemeinsam eine hard style angehauchte Choreografie zu performen. Knieschoner sind bitte unbedingt empfohlen.  Für diesen Workshop solltest du bereits Pole Erfahrung haben :) ! _____________ Instagram Profil: Emily_gemelli",,17:00 - 18:30,"ab 79,00 €",1 Einheit
Workshop l Pole like a Fairy | Trisha,Poledance,"Sonntag, 2. Februar 2025",,"Eichkamp 1-5, 24116 Kiel",Pure Motion Kiel,https://www.eversports.de/e/workshop/t5VaB1P,Workshop,,"Pole Like a Fairy | Spinning Pole Choreo Was dich erwartet: Du tanzt mit Trisha eine Choreo auf spinning, bei der Bodenteile sowie Teile aerial, oben an der Pole ausgeführt werden. Trisha führt dich Schritt für Schritt durch die Combos und die Choreo, wobei der Schwerpunkt auf fließenden Bewegungen und Musikalität liegt.  In den Combos werden keine klassischen Inverts passieren, der Fokus liegt hier auf interessanten shapes, aus dem Seat oder Climb vertanzt und der Versuch diese für einen Moment zu halten. Wir fokussieren uns darauf, zwischen den einzelnen Tricks, weiche und saubere Übergänge zu schaffen und lernen, die Techniken dazu, diese zu erreichen. Sollte eine Shape dennoch schwer für dich sein, hat Trisha ein paar Alternativen parat.  Bitte trag‘ eine kurze Hosen oder Grip Leggings. Du solltest einen soliden Basic Climb, sowie einen Seat und Kneehook sowie beim Star beherrschen.",,14:00 - 15:30,"ab 79,00 €",1 Einheit
Workshop l Contemporary Pole | Trisha,Poledance,"Sonntag, 2. Februar 2025",,"Eichkamp 1-5, 24116 Kiel",Pure Motion Kiel,https://www.eversports.de/e/workshop/jpR0emi,Workshop,,"Contemporary Pole Was ist contemporary und was hat das mit Pole zu tun?  Contemporary ist ein Tanzstil, der sich besonders durch fließende und lässige Bewegungen auszeichnet. In einem Moment tanzen wir sanft und einfühlsam, im anderen Moment tanzen wir schnell und mit viel Spannung im Körper. Contemporary gibt uns die Möglichkeit, loszulassen und frei zu sein. Was dich erwartet: Zwischen Flow und Akrobatik arbeiten wir an einer Choreo und nutzen die Pole als Instrument und Hilfsmittel. Wichtig ist, dass du eine kurze Hose trägst, denn wir benötigen in einigen Momenten grip auf der Haut. Bring‘ auch gern etwas langarmiges mit für Schulterrollen.  Die Choreo wird mit einfachen fließenden Bewegungen gefüllt sein, getoppt von interessanten Übergängen und Tricks, die der Choreo das gewisse Etwas verleihen und dich herausfordern. Es wird immer Alternativen geben falls ein Trick nicht funktioniert. Trisha wird jeden Schritt langsam und detailliert erklären, sodass du der Choreo leicht folgen kannst.  Du solltest die Grundlagen, wie Basic Climb und Seat beherrschen und bereits an einem Fan-Kick gearbeitet haben. Knieschoner sind empfohlen mitzubringen.",,15:45 - 17:15,"ab 79,00 €",1 Einheit
Workshop l Pole Heels Flow | Trisha,Poledance,"Sonntag, 2. Februar 2025",,"Eichkamp 1-5, 24116 Kiel",Pure Motion Kiel,https://www.eversports.de/e/workshop/-n29Pnp,Workshop,,"Heels Flow Heels Extravaganza ist das Thema der Heels Flow Choreo (= früher Exotic Pole).  Unsere Choreo ist prall gefüllt mit super schönen und soften Übergängen und Akzenten - typisch à la Flow.  Was dich erwartet: Du lernst Schritt für Schritt alle Techniken in einem angenehmen Tempo, sodass wir sicher auf den den Heels arbeiten können.  Trisha führt dich Schritt für Schritt durch die Choreo und versorgt dich mit vielen Tipps und Tricks, wie du es schaffen kannst, weich und federleicht, mit viel Ausdruck zu tanzen. Außerdem lernst du, wie du Tempowechsel in die Choreo einbauen kannst und raffiniert Akzente setzt.  Dieser Workshop ist für (fast) alle Level geeignet. Du solltest seit einigen Monaten (ungefähr 3-4) Heels tragen. Bitte bringe unbedingt Knieschoner mit und trage Heels mit einem Mindestabsatz von 6 Inch, (natürlich kannst du auch mit Socken teilnehmen)",,17:30 - 19:00,"ab 79,00 €",1 Einheit
INSIDE FLOW YOGA,Inside Flow,"Samstag, 1. Februar 2025",,"Knappschaftsstraße 30, 45886 Gelsenkirchen",Ramonas Tanzschmiede,https://www.eversports.de/e/workshop/K_meug6,Workshop,,"INSIDE FLOW YOGA verbindet traditionelles VINYASA YOGA mit einem modernen Popsong. Atem, Bewegung, Herz und Geist werden choreografisch zur Musik vereint. An diesem Schnupperworkshop kannst Du ohne jegliche Vorkenntnisse teilnehmen. Solltest Du Fragen haben, schreibe uns gerne an. kontakt@ramonas-tanzschmiede.de",,14:00 - 15:30,"ab 20,00 €",1 Einheit
Flexibility-Training mit Nani,Stretching,"Samstag, 25. Januar 2025",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/cuKBwsF,Workshop,,"Dancing, Pole & Flexibilty go hand in hand!  Learn different drills and stretches to strengthen your mobility and flexibility.  The workshop offers passive and active/dynamic exercises to help you improve your range and flawlessness! Unsere neue Lehrerin Nani findet Ihr auf Instagram: @nadeya_divine_ Das sagt sie selbst über den Aufbau des Kurses: Flexibility Classes starten mit einem 15 min Warm-up für den gesamten Körper um Verletzungen vorzubeugen. Anschließend arbeite ich mit aktiven und/oder dynamischen Übungen zum Muskelaufbau (aus den Bereichen Yoga, Pialtés Floor Barré & Contortion) je nachdem welchen Fokus (bspw. Backbend/Splits/Hip Opening/ Shoulder Flexinility…) die Klasse hat. Zum Ende der Stunde werden passive Dehnung oder Dehnung mit der PNF Methode durchgeführt und evtl. an Shapes wie bspw. dem Spagat gearbeitet. Die Stunde wird beendet mit einer Entspannung auf der Matte. ",,17:45 - 19:15,"ab 30,00 €",1 Einheit
Tag der offenen Tür - Schnuppertease Special,Tanzen,"Sonntag, 26. Januar 2025",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/hUjXcDn,Workshop,,"Unser Schnuppertease Special ist für komplette Neueinsteigerinnen gedacht. In 150 Minuten bekommt Ihr einen Einblick in fünf Tanzstile aus unserem Studio: Pole Dance / Chair Dance / Lap Dance / Burlesque und Twerk. Die Teilnahmegebühr für fünf Tänze beträgt sagenhafte 20 Euro. Nach 2,5 praktischem Einblick stellen wir Euch unser Kurssystem und das Studiokonzept kurz vor und Ihr könnt Euch von allen Trainerinnen individuell beraten lassen. Insgesamt dauert diese Schnupperstunde ca 2,5 Stunden vor.Danach erwarten Euch einige Shows dieser Tänze und Sekt, Fingerfood, Tombola und ganz viel gemeinsamer Spass bis 19:30 Uhr. :-)Wir bedanken uns bei Euch für die Weiterleitung dieses Events an Eure Freundinnen und Bekannten. Schaut Euch unser Programm an.Wir freuen uns riesig, Euch willkommen zu heißen und Euch gut zu beraten.Teilnehmen können alle Ladys und FLINTA Personen die über 18 Jahre alt sind teilnehmen.",,15:30 - 18:00,"ab 20,00 €",1 Einheit
Loveyourself - Sensual Dances & Moves / Sensual Floorwork mit Kaya,Tanzen,"Samstag, 1. Februar 2025",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/DWdAG6Y,Workshop,,"Sensual Floorwork mit Kaya Sensual Pole Dance ist die rein tänzerische Disziplin die jedoch nicht minder körperlich herausfordernd sein kann durch die vielen schönen Floorwork Elemente. Und genau um diese geht es in Kayas Kurs! Allerdings geht es hier um KEINE Choreografien, sondern der Schwerpunkt liegt auf den Techniken, der einzelnen Elemente, die meist zu wenig so intensiv erlernt werden können. Nützt die Chance und nimmt Euch die Zeit, damit die Choreos umso fließender werden. Kaya Anouk Zakrzewska ist in New York aufgewachsen und begann mit ihrem Training und Auftritten bereits in sehr frühen Jahren. Ihre Ausbildung in Contemporary Dance and Choreography absolvierte Kaya bei Ellen Robbins. In Ihren Studium lernt Kaya Ballett, Bauchtanz sowie Yoga. Sie absolvierte mit einem Bachelor of Fine Arts in Theater an der Tisch School of the Arts der New York University wo sie ihre Tanz- und Bühnenausbildung fortsetzte. Nachdem Kaya in Pole Dance ihre Leidenschaft gefunden hat, unterrichtet und performt sie Pole in Berlin.",,15:00 - 16:00,"ab 25,00 €",1 Einheit
Burlesque Workshop mit Kaya,Burlesque,"Samstag, 1. Februar 2025",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/WigfnzM,Workshop,,"Burlesque ist eine klassische Form des erotischen Tanzes, die den Striptease mit – oftmals humorvollem – Unterhaltungstheater verbindet. In Stil und Kostümen knüpft die neue Form des Burlesque an die 1920er bis 1960er Jahre an und verbindet diese mit modernen Elementen. Du wolltest Dich schon immer wie eine Diva fühlen, mit Make up experimentieren, in eine neue Rolle schlüpfen und einfach jeglichen Ernst des Alltags ablegen? In diesem Fall ist es Zeit, den Alltagstrott zu vergessen und Dein inneres Showgirl zu entdecken. Gewinne ein ganz neues Körpergefühl und lerne Deinen Körper zu lieben, so wie er ist. Burlesque bietet Raum für alle Typen. Ja sie sind sogar gewünscht, da es so viele Möglichkeiten gibt, die verschiedenen Körpertypen zu präsentieren. In unseren Burlesque Kursen lernst Du, Deine Schokoladenseite zu präsentieren und andere Stellen spielerisch zu kaschieren. Also trau Dich und besuche einen unserer Burlesque Kurse im Schönheitstanz Berlin Studio. Diesen Kurs unterrichtet die Lehrerin Kaya.",,16:15 - 17:15,"ab 25,00 €",1 Einheit
Burlesque Fitness with Fifi Fantôme,Burlesque,"Sonntag, 2. Februar 2025",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/jLVbM9q,Workshop,,"This movement based class is a workout inspired by burlesque movements and dance. The class is about boosting confidence and feeling your body through movement. We will tap into finding your sensuality and exploring it in a positive and uplifting environment. Think booty ballet meets cardio floorwork. Here we will integrate fun burlesque moves into a dance class and when we are really feeling ourselves, we may throw in a little improv. This class is perfect for any experience or level. You do not need to be a dancer or have experience working with your body. The class is about boosting confidence and learning burlesque choreography as well as learning to feel your body and empower yourself. All Body types, and gender expressions welcome! Fifi Fantôme is a Canadian-born, Berlin-based queer performance artist. Fascinated by the idea of intimacy, embodied experience and the language of movement. Fifi experiments with how to assert and perform gender roles and break labels in regards to sexuality. Fifi has performed all over Europe, Canada and the United States in circus, theatre and burlesque shows. More information about Fifi: https://www.fififantome.com/",,18:45 - 20:15,"ab 38,00 €",1 Einheit
Burlesque Fitness with Fifi Fantôme,Burlesque,"Beginnt am Montag, 3. Februar 2025",,Ermäßigtes 2 Stundenpaket,Schönheitstanz Studio,https://www.eversports.de/e/workshop/uk7-b1E,Workshop,,"This movement based class is a workout inspired by burlesque movements and dance. The class is about boosting confidence and feeling your body through movement. We will tap into finding your sensuality and exploring it in a positive and uplifting environment. Think booty ballet meets cardio floorwork. Here we will integrate fun burlesque moves into a dance class and when we are really feeling ourselves, we may throw in a little improv. This class is perfect for any experience or level. You do not need to be a dancer or have experience working with your body. The class is about boosting confidence and learning burlesque choreography as well as learning to feel your body and empower yourself. All Body types, and gender expressions welcome! Fifi Fantôme is a Canadian-born, Berlin-based queer performance artist. Fascinated by the idea of intimacy, embodied experience and the language of movement. Fifi experiments with how to assert and perform gender roles and break labels in regards to sexuality. Fifi has performed all over Europe, Canada and the United States in circus, theatre and burlesque shows. More information about Fifi: https://www.fififantome.com/",,"Charitestraße 4, 10117 Berlin","ab 35,00 €",2 Einheiten
Twerk Basics,Tanzen,"Sonntag, 9. Februar 2025",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/kWPNTH2,Workshop,,"Twerking ist ein alter westafrikanischer Tanz, der Ähnlichkeiten zum „Mapouka Dance“ aus Cote D`Ivoire aufweist. Ähnlich wie andere afro-karibische Tänze, ist dieser Tanz ein Ausdruck des Widerstandes gegen männliche Vorgaben zur weiblichen Sexualität. Ursprünglich wurde Twerking zu afrikanischer Musik getanzt. Mittlerweile sind es Musikrichtungen wie Bounce/Crunk, Hip Hop and Trap Music. Der Begriff des „Twerking“ wurde erstmalig 1993 benutzt, als dieser Tanzstil über die Videos von Beyoncé, Rihanna oder Nicki Minaj Einzug in die Musik- und Unterhaltungsindustrie hielt. In der Workshopserie „Booty Dance / Twerk“ mit Becky* steht zunächst die Technik im Vordergrund – getanzt werden daher zu Beginn noch keine Choreographien, sondern wir beschäftigen uns erstmals mit der richtigen Ausführung und dem Erlernen der Grundbewegungen.",,15:30 - 16:30,"ab 35,00 €",1 Einheit
Twerk Basics ONLINE,Tanzen,"Sonntag, 9. Februar 2025",,Online,Schönheitstanz Studio,https://www.eversports.de/e/workshop/WQahiW_,Workshop,,"Twerking ist ein alter westafrikanischer Tanz, der Ähnlichkeiten zum „Mapouka Dance“ aus der Cote D`Ivoire aufweist. Ähnlich wie andere afro-karibische Tänze, ist dieser Tanz ein Ausdruck des Widerstandes gegen männliche Vorgaben zur weiblichen Sexualität. Ursprünglich wurde Twerking zu afrikanischer Musik getanzt. Mittlerweile sind es Musikrichtungen wie Bounce/Crunk, Hip Hop and Trap Music. Der Begriff des „Twerking“ wurde erstmalig 1993 benutzt. In den 2000ern hielt dieser Tanzstil über die Videos von Beyoncé, Rihanna, Miley Cyrus oder Nicki Minaj Einzug in die Musik- und Unterhaltungsindustrie. In der Workshopserie „Booty Dance / Twerk“ mit Becky* steht zunächst die Technik im Vordergrund – getanzt werden daher zu Beginn noch keine Choreographien, sondern wir beschäftigen uns erstmals mit der richtigen Ausführung und dem Erlernen der Grundbewegungen. Twerk Basic ist der erste Teil der Reihe. Im Anschluss an den Grundkurs bieten wir in regelmäßigen Abständen Twerk Choreographie-Kurse an.",,15:30 - 16:30,"ab 25,00 €",1 Einheit
Pole Flow mit Becky*,Poledance,"Sonntag, 9. Februar 2025",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/D3ZQpLo,Workshop,,"Für alle Ladies, die gerne ihre tänzerische Seite ausprägen möchten: Im diesem Workshop mit Becky* beschäftigt Ihr euch mit smoothen Übergängen, Drehungen, Floorwork und fliessenden Bewegungen, gespickt mit Exotic Pole Einflüssen – gerne auch auf Pole Heels. Ganz ohne Akrobatik fokussiert sich dieser Kurs allein auf Euren Flow, eine perfekte Ergänzung zu Euren regulären Kursen. Geeignet ab Mittelstufe",,16:45 - 17:45,"ab 35,00 €",1 Einheit
Pole Flow mit Becky* ONLINE,Poledance,"Sonntag, 9. Februar 2025",,Online,Schönheitstanz Studio,https://www.eversports.de/e/workshop/dDp4lxI,Workshop,,"Für alle Ladies, die gerne ihre tänzerische Seite ausprägen möchten: Im diesem Workshop mit Becky* beschäftigt Ihr euch mit smoothen Übergängen, Drehungen, Floorwork und fliessenden Bewegungen, gespickt mit Exotic Pole Einflüssen – gerne auch auf Pole Heels. Ganz ohne Akrobatik fokussiert sich dieser Kurs allein auf Euren Flow, eine perfekte Ergänzung zu Euren regulären Kursen. Geeignet ab Mittelstufe",,16:45 - 17:45,"ab 25,00 €",1 Einheit
Loveyourself - Sensual Dances & Moves/ Floorwork-Workshop mit Becky*,Poledance,"Sonntag, 9. Februar 2025",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/lmrc41E,Workshop,,"In Beckys Workshop lernt ihr die Übergänge zu euren Lieblingstricks an der Pole, so wie die einzelnen Techniken selbst, sinnlich fließend und geschmeidig zu gestalten. Ihnen das gewisse Extra zu verleihen! Becky zeigt euch in ihrem Kurs, dass Floorwork ein wichtiger Teil eures Tanzes, eurer Choreografie und eures Freestyles an der Stange und auf dem Boden sind. Ihr werdet zusammen mit Becky eine Choreografie erarbeiten, mit der ihr das Gelernte üben und umsetzen könnt. Level: Ab der Mittelstufe können gerne alle Ladys teilnehmen.",,18:00 - 19:00,"ab 35,00 €",1 Einheit
